# 由 tools/corpus/glossary_es.py 生成（Azure Translator F0）。词	[词性. ]译词	[词性. ]译词
㕮	v. masticar
一辈子的	adj. de por vida
一边	n. por un lado
一边倒	phr. completamente unilateral
一边去	phr. apartate
一边吃	phr. comer mientras se come
一边看	phr. observando mientras yo miraba
一边说	phr. mientras hablaba
一过性脑缺血	n. Isquemia cerebral transitoria
一进	phr. un paso adelante
一连	adv. un par
一连串	adj. una serie
一连气儿	adv. yilianqier
一通	m. una ronda completa
一遍	m. una vez
一道	n. de ida
一道菜	n. un plato
一郎	n. Ichiro
一部	n. one Piece
一部分	n. una parte
一部电影	phr. una película
一部露出说	n. uno queda expuesto
一配	n. Primer partido
一针	phr. una aguja
一针一线	phr. puntada por puntada
一针见血	phr. directo al grano
一钱不值	phr. inútil
一锅	phr. una olla
一锅粥	phr. una olla de gachas
一锤定音	phr. un golpe decisivo
一键	m. un clic
一长一短	phr. uno largo, otro corto
一门	m. una secta
一门心思	phr. determinación
一闪一闪	adj. destellos de chispa
一闪念	n. un pensamiento fugaz
一闪而过	phr. pasó un destello
一问	v. hacer una pregunta
一队	n. equipo A
一阵	m. durante un tiempo
一阵子	n. durante un tiempo
一阵风	n. una ráfaga de viento
一阶段	n. fase Uno
一阶矩	n. un escalón del cuadrado
一阶逻辑	n. lógica de primer orden
一隅之地	phr. una esquina del terreno
一零四团	n. 104º Regimiento
一霎	n. en un instante
一面	n. por un lado
一面之交	phr. un breve encuentro
一面之缘	phr. un breve encuentro
一面之词	phr. una afirmación unilateral
一页	n. una página
一项	m. un punto
一顺儿	adv. yishuner
一顿饭	n. una comida
一颗心	phr. un corazón
一题	n. una pregunta
一颦一笑	phr. cada ceño y sonrisa
一飞冲天	phr. volando hacia el cielo
一餐	n. una comida
一首歌	phr. una canción
一首诗	phr. un poema
一马当先	phr. tomar la iniciativa
一马路	n. Una sola carretera
一骨碌	adv. yi Gu Luo
一鸣惊人	phr. un debut impresionante
一鼻子灰	phr. un total de polvo
一齐	adv. juntos
丁	n. Ding
丁丑科	n. Examen Imperial de Dingchou
丁丙	n. Ding Bing
丁丙诺啡	n. ding Bing Nuofin
丁义	n. Ding Yi
丁二酮	n. butanediona
丁于	n. Ding Yu
丁仁山	n. Montaña Dingren
丁仪	n. ding Yi
丁伟	n. Ding Wei
丁佛言	n. dijo Ding Fo
丁俊晖	n. Ding Junhui
丁元公	n. Ding Yuangong
丁克	n. DINK
丁公藤	n. Ding Gong Vine
丁军	n. Ding Jun
丁凌华	n. Ding Linghua
丁卡因	n. dinkaine
丁卯	n. El día de Dingmao
丁卯街道	n. Subdistrito de Dingmao
丁原	n. Ding Yuan
丁司垱镇	n. Ciudad de Dingsi Dou
丁各庄	n. Pueblo Dingge
丁咯地尔	n. dingge Di'er
丁型病毒性肝炎	n. hepatitis viral tipo D
丁基橡胶	n. goma butílica
丁基羟基茴香醚	n. éter hidroxiano butílico
丁堡	n. Dingbao
丁堰	n. Dingyan
丁塘镇	n. Pueblo de Dingtang
丁墙	n. Muro de Ding
丁夫人	n. Señora Ding
丁奉	n. Ding Feng
丁子峻	n. Ding Zijun
丁子江	n. Río Dingzi
丁子路口	n. intersección de Dingzi Road
丁字形	n. En forma de T
丁字沽	n. dingzigu
丁字沽一号路	n. Carretera Dingzigu Nº 1
丁字沽三号路	n. Carretera Dingzigu Nº 3
丁字沽二号路	n. Carretera Dingzigu Nº 2
丁字胡同	n. Dingzi Hutong
丁字路口	n. Cruce en T
丁宁	n. Dingning
丁宝桢	n. Ding Baozhen
丁宝臣	n. Ding Baochen
丁家坝	n. Dingjiaba
丁家堡	n. Dingjiabao
丁家堡村	n. Pueblo de Dingjiabao
丁家山	n. Montaña Dingjia
丁家山景区	n. Zona Escénica de Dingjiashan
丁家村	n. Pueblo Dingjia
丁家桥	n. Dingjiaqiao
丁家桥村	n. Aldea de Dingjiaqiao
丁家沟乡	n. Municipio de Dingjiagou
丁家滩	n. Dingjiatan
丁尼生	n. Ding Nisheng
丁山	n. Dingshan
丁山乡	n. Municipio de Dingshan
丁庄	n. Dingzhuang
丁店	n. Tienda de abolladas
丁建华	n. Ding Jianhua
丁当	n. ¡Ding Dang
丁德隆	n. Ding Delong
丁志成	n. Ding Zhicheng
丁忧	v. llorar por el padre
丁惟汾	n. Ding Weifen
丁所	n. Ding Suo
丁敬	n. Ding Jing
丁文	n. Ding Wen
丁文江	n. Ding Wenjiang
丁文琪	n. Ding Wenqi
丁文祥	n. Ding Wenxiang
丁斐	n. Ding Fei
丁日昌	n. Ding Richang
丁是娥	n. Ding Shie
丁晏	n. Ding Yan
丁晓兵	n. Ding Xiaobing
丁晓峰	n. Ding Xiaofeng
丁未	n. El día de Dingwei
丁未科	n. Examen Imperial Dingwei
丁杨	n. Ding Yang
丁果仙	n. Ding Guoxian
丁果糖	n. Fructosa Butano
丁桥	n. Dingqiao
丁桥镇政府	n. Gobierno municipal de Dingqiao
丁楼	n. Edificio Ding
丁汀	n. Ding Ting
丁汉	n. Ding Han
丁汝昌	n. Ding Ruchang
丁泉	n. Ding Quan
丁泰	n. Ding Tai
丁济万	n. Ding Jiwan
丁溪	n. Dingxi
丁溪村	n. Pueblo Dingxi
丁炳权	n. Ding Bingquan
丁点儿	n. solo un poquito
丁然	n. Ding Ran
丁父	n. Dingfu
丁玲	n. Ding Ling
丁瓒	n. Ding Zan
丁甘仁	n. Ding Ganren
丁甲庄	n. Pueblo Dingjia
丁申	n. Dingshen
丁白村	n. Pueblo de Dingbai
丁目	n. chome
丁硼乳膏	n. Crema de boro butilo
丁磊	n. Ding Lei
丁福保	n. Ding Fubao
丁立	n. Ding Li
丁立诚	n. Ding Licheng
丁章胡同	n. Dingzhang Hutong
丁管	n. Ding Guan
丁细牙痛胶囊	n. Cápsulas Dingxi Yaitong
丁耀亢	n. Ding Yaokang
丁肇中	n. Ding Zhaozhong
丁胺卡那霉素	n. butamina canamicina
丁艳燕	n. Ding Yanyan
丁芸	n. Ding Yun
丁苯橡胶	n. caucho estireno-butadieno
丁营村	n. Pueblo Dingying
丁薇	n. Ding Wei
丁螺环酮	n. butspirona
丁裔	n. ding Yi
丁西林	n. Ding Xilin
丁贤	n. Ding Xian
丁轶	n. Ding Yi
丁道衡	n. Ding Daoheng
丁酮	n. butanone
丁酸	n. ácido butírico
丁酸丁酯	n. butilbutirato
丁酸乙酯	n. etilbutirato
丁酸异戊酯	n. isoamil butirato
丁酸氢化可的松	n. butirato de hidrocortisona
丁酸苄酯	n. butirato de benzilo
丁陂乡	n. Municipio de Dingpi
丁集	n. Ding Ji
丁零	n. Dingling
丁青	n. Ding Qing
丁静怡	n. Ding Jingyi
丁香	n. clavo
丁香公寓	n. Apartamento Dingxiang
丁香叶	n. hojas de clavo
丁香园	n. Jardín de Lilas
丁香尾小鹦鹉	n. loro de cola lila
丁香榄	n. clavo de oliva
丁香油酚	n. eugenol
丁香粉	n. polvo de clavo
丁香胡同	n. Dingxiang Hutong
丁香花	n. lila
丁香街	n. Calle Dingxiang
丁香路	n. Lilac Road
丁香酚	n. eugenol
丁香鸭	n. pato clavo
丁鱥	n. ding Shan
七	num. 7
七一	n. 1 de julio
七一村	n. Aldea Qiyi
七七	n. qiqi
七七八八	phr. casi ochenta
七七街	n. Calle Qiqi
七世	n. siete generaciones
七个	num. siete
七个月	phr. siete meses
七中	n. Nº 7
七乐彩	n. Siete colores musicales
七二一	n. 721
七井胡同	n. Qijing Hutong
七人	n. siete personas
七位	n. siete personas
七八	num. siete u ocho
七八个	num. siete u ocho
七八十	num. setenta u ochenta
七八年	n. Siete u ocho años
七八点	phr. siete u ocho puntos
七农场	n. Siete granjas
七分	n. siete partes
七前	n. siete pasos por delante
七匹狼	n. Siete Lobos
七十	num. setenta
七十七	num. setenta y siete
七十三	num. setenta y tres
七十九	num. setenta y nueve
七十二	num. setenta y dos
七十二行	n. setenta y dos líneas
七十五	num. setenta y cinco
七十八	num. setenta y ocho
七十六	num. setenta y seis
七十味珍珠	n. Setenta sabores de perlas
七十四	num. setenta y cuatro
七十年代	n. los años 70
七十紫鸳鸯	phr. setenta mandarinas moradas
七千	num. siete mil
七厂	n. Fábrica 7
七厘散	n. Polvo de siete li
七厘胶囊	n. Cápsulas de qili
七原秋也	n. Era otoño en Qiyuan
七台河市	n. Ciudad de Qitaihe
七叶神安片	n. Película de Qiye Shen'an
七号	n. número Siete
七号桥	n. Puente nº 7
七号码头	n. Muelle nº 7
七号门	n. Puerta nº 7
七名	phr. siete personas
七名举	n. se recomendaron siete candidatos
七味消渴胶囊	n. Cápsulas Qiwei Xiaoke
七味糖脉舒胶囊	n. Cápsulas Qiwei Tangmai Shu
七味葡萄散	n. Polvo de uva Qiwei
七味都气丸	n. Píldoras Qiwei Duqi
七品	n. séptimo rango
七哥	n. séptimo Hermano
七圣南路	n. Calle Qisheng Sur
七堡	n. Siete fuertes
七塔寺	n. Templo Qita
七塘	n. Siete estanques
七境堂绿茶	n. Té verde Qijingtang
七夕	n. Qixi
七夕快乐	phr. Feliz Festival Qixi
七夕斗鱼	n. Pez de lucha Qixi
七大	num. siete eventos principales
七天	n. siete días
七孔桥	n. Puente de siete arcos
七季	n. siete temporadas
七宝	n. siete tesoros
七宝山	n. Montaña Qibao
七宝路	n. Carretera Qibao
七宝镇	n. Pueblo de Qibao
七家湾	n. Qijiawan
七尾	n. Siete colas
七局	n. siete despachos
七层协议	n. acuerdo de siete niveles
七层模型	n. modelo de siete capas
七层糕	n. pastel de siete capas
七届	n. séptima sesión
七山乡	n. Municipio de Qishan
七岁	n. siete años
七巧板	n. tangram
七师	n. siete divisiones
七年	n. en el séptimo año
七年了	phr. siete años
七座	phr. siete escaños
七建乡	n. Séptimo municipio
七弦琴	n. cítara de siete cuerdas
七彩	adj. arcoíris
七彩什锦煲	n. vasija variada de colores
七彩小康城	n. Colorida ciudad Xiaokang
七情	n. las siete emociones
七房	n. Séptima rama
七批	n. siete lotes
七拼八凑	phr. un mosaico
七日	n. siete días
七星	n. siete estrellas
七星丸	n. Píldora Qixing
七星井	n. Pozo de Qixing
七星关	n. Paso Qixing
七星园	n. Jardín Qixing
七星园北社区	n. Comunidad Qixingyuan Norte
七星园南社区	n. Comunidad Sur de Qixingyuan
七星岗	n. Qixinggang
七星岩	n. Roca Qixing
七星市场	n. Mercado de Qixing
七星桥村	n. Pueblo de Qixingqiao
七星椒	n. qixing Pepper
七星洞	n. Cueva Qixing
七星电子	n. Qixing Electronics
七星街	n. Calle Qixing
七星路	n. Carretera Qixing
七月	n. Julio
七月份	n. Julio
七月底	n. finales de julio
七条	m. siete artículos
七条巷	n. Callejón Qitiao
七样菜	n. siete platos
七格小区	n. Comunidad Qige
七格村	n. Aldea Qige
七桥	n. Siete Puentes
七棵松	n. Siete pinos
七楼	n. séptima planta
七次	phr. siete veces
七步沟	n. Zanja Qibu
七段	n. 7-dan
七氟醚	n. hepfluorinato
七浦路	n. Calle Qipu
七海奈奈	n. Nanami Nana
七渡	n. Siete cruces
七濑	n. Nanase
七点	n. siete en punto
七牛	n. Siete bueyes
七牛云存储	n. Qiniu Cloud Storage
七生力片	n. Siete Tabletas de Vitalidad
七甲	n. Siete Jia
七甲闸村	n. Aldea Qijia Zha
七画	n. siete golpes
七百	num. setecientos
七窍	n. siete orificios
七管村	n. Aldea Qiguan
七绝	n. siete cuartetos
七美	n. Siete bellezas
七美岛	n. Isla Qimei
七莘路	n. Carretera Qixin
七角井	n. Pozo Qijiao
七角井镇	n. Pueblo de Qijiaojing
七言诗	n. poema de siete caracteres
七贤岭	n. Cresta Qixian
七贤桥	n. Puente Qixian
七贤路	n. Carretera Qixian
七连庄	n. Aldea Qilian
七道堰	n. Presa Qidao
七道堰街	n. Calle Qidaoyan
七道岭乡	n. Municipio de Qidaoling
七道河	n. Río Qidao
七道湾	n. Qidaowan
七里亭村	n. Aldea de Qiliting
七里墩街道	n. Subdistrito de Qili Dun
七里山	n. Montaña Qili
七里岗	n. Qiligang
七里庄	n. Aldea Qili
七里店	n. Qilidian
七里庙	n. Templo Qili
七里村	n. Aldea Qili
七里沟	n. Zanja Qili
七里沟街道	n. Subdistrito de Qiligou
七里海河蟹	n. Cangrejo de río Qilihai
七里渠	n. Qili Canal
七里湖街道	n. Subdistrito de Qilihu
七里甸街道	n. Subdistrito de Qilidian
七里畈	n. Qilifan
七里街	n. Calle Qili
七里街道	n. Subdistrito de Qili
七里香溪	n. Siete li de Xiangxi
七零八散	phr. disperso y disperso
七零八碎	adj. disperso
七零八落	phr. disperso y disperso
七马路	n. Carretera Qima
七龙	n. Siete dragones
七龙珠	n. Dragon Ball
万	num. diez mil
万万	adv. diez mil
万丈	adj. diez mil pies
万丈深渊	phr. un abismo sin fondo
万丈湖农场	n. Granja del Lago Wanzhang
万三蹄	n. Diez mil tres cascos
万世	n. durante diez mil generaciones
万东路	n. Carretera Wan Dong
万个	m. diez mil de ellos
万丰	n. Wanfeng
万丰奥威	n. Wanfeng Aowei
万丰村	n. Aldea Wanfeng
万丰镇	n. Pueblo de Wanfeng
万乃洛韦	n. wan Nai Luo Wei
万事	n. todo
万事不关心	phr. nada más importa
万事亨通	phr. todo va bien
万事俱备	phr. todo está listo
万事利花园	n. Jardín Wanshili
万事利集团	n. Grupo Wanshili
万事大吉	phr. todo irá bien
万事屋	n. yorozuya
万事成蹉跎	phr. todo acaba en arrepentimiento
万事达	n. Wanshida
万亩	m. diez mil mu
万亩村	n. Aldea Wanmu
万人	n. diez mil personas
万人坑	n. una fosa común
万人迷	n. rompecorazones
万亿	num. billones
万代	n. durante diez mil generaciones
万令	n. Wan Ling
万份	m. diez mil ejemplares
万众	n. diez mil personas
万众村	n. Aldea de Wanzhong
万余	num. más de diez mil
万佛山	n. Montaña Wanfo
万佳百货	n. Grandes almacenes Wanjia
万佳通	n. Wanjiatong
万倍	num. diez mil veces
万元	n. diez mil yuanes
万兆网卡	n. Tarjetas de red 10G
万全	adj. perfecto
万全之策	phr. una estrategia infalible
万全道	n. dijo Wanquan
万兴	n. Wanxing
万册	n. diez mil volúmenes
万分	adv. diez mil minutos
万分之一	phr. uno entre diez mil
万分感谢	phr. muchas gracias
万利达	n. Wanlida
万利镇	n. Pueblo de Wanli
万力达	n. Wanlida
万劫不复	phr. más allá del retorno
万千	num. miles de personas
万华	n. Wanhua
万博花园	n. Jardín Wanbo
万历	n. Wanli
万历八	n. Wanli Octavo Año
万历十	n. Wanli Year 10
万县	n. Diez mil condados
万县市	n. Ciudad Wanxian
万古	n. eternidad
万古蟾	n. El sapo eterno
万古长青	phr. eternidad eterna
万古霉素	n. vancomicina
万台	n. diez mil unidades
万名	num. diez mil nombres
万向德农	n. Wanxiang Denong
万向液压	n. hidráulica universal
万吨	m. diez mil toneladas
万和春	n. Manantial Wanhe
万和路	n. Carretera Wanhe
万商电脑城	n. Ciudad Informática de Wanshang
万国	n. todas las naciones
万国广场	n. Plaza Internacional
万国金色家园	n. Tierra Dorada Wanguo
万圣	n. Halloween
万圣节	n. Halloween
万块	m. diez mil yuanes
万块钱	n. diez mil yuanes
万坪乡	n. Municipio de Wanping
万坪镇	n. Pueblo de Wanping
万埠	n. Wanbu
万基	n. Wanji
万塔	n. Quiero
万多	num. más de diez mil
万头攒动	phr. diez mil cabezas reunidas
万套	m. diez mil juegos
万威国际	n. Internacional Wanwei
万子营	n. Campamento Wanzi
万字	n. diez mil caracteres
万宁县	n. Condado de Wanning
万宁市	n. Ciudad de Wanning
万宁桥	n. Puente Wanning
万安山	n. Montaña Wan'an
万安村	n. Aldea de Wan'an
万安路	n. Carretera Wan'an
万宜水库	n. Embalse Wanyi
万宝	n. Wanbao
万宝湖	n. Lago Wanbao
万宝街	n. Calle Wanbao
万宝路	n. Carretera Marlboro
万家	n. diez mil hogares
万家丽	n. Diez mil hogares prosperan
万家乐	n. Wanjiale
万家基金	n. Fondo Wanjia
万家寨镇	n. Pueblo de Wanjiazhai
万家庄	n. Wanjiazhuang
万家庄乡	n. Municipio de Wanjiazhuang
万家桥	n. Puente Wanjia
万富	n. Wanfu
万寨港	n. Puerto de Wanzhai
万寿	n. larga vida
万寿中路	n. Carretera Media de Wanshou
万寿公园	n. Parque Wanshou
万寿场	n. Campo Wanshou
万寿塔	n. Wanshou Pagoda
万寿寺	n. Templo Wanshou
万寿寺街	n. Calle Wanshousi
万寿庄	n. Mansión Wanshou
万寿桥	n. Puente Wanshou
万寿禅寺	n. Templo Wanshou Chan
万寿菊牧草盲蝽	n. caléndula y chinches ciegas
万寿菊赤蛱蝶	n. mariposa roja caléndula
万寿西宫	n. Palacio Occidental de Wanshou
万寿路	n. Carretera Wanshou
万山湖	n. Lago Wanshan
万山特区	n. Zona Especial de Wanshan
万岁	int. ¡Viva el Emperador
万岁街	n. Calle Wansui
万峪河乡	n. Municipio del río Wanyu
万峰林场	n. Granja Forestal Wanfeng
