# 由 glimmer-gloss-gen 生成（LLM），音标来自 ipa-dict。词	[词性. ]译词[|音标]	[词性. ]译词[|音标]
㕮	v. chew|tʃuː
一字千金	phr. priceless writing|ˈpraɪsləs ˈraɪtɪŋ
一字吊	n. one-character hanging|wʌn ˈkerɪktər ˈhæŋɡɪŋ
一字显脉叶蝉	n. one-line leafhopper|wʌn laɪn ˈliːfˌhɑːpər
一字桥	n. one-character bridge|wʌn ˈkerɪktər brɪdʒ
一字波纹吊	n. one-line tang|wʌn laɪn tæŋ
一字纹稻苞虫	n. rice skipper|raɪs ˈskɪpər
一字至七字诗	n. pagoda poem|pəˈɡoʊdə ˈpoʊəm
一字长蛇阵	n. single-line formation|ˈsɪŋɡəl laɪn fɔːrˈmeɪʃən
一季	n. one season|wʌn ˈsiːzən
一季度	n. quarter|ˈkwɔːrtər
一学期	n. one semester|wʌn səˈmestər
一宗	m. a case|eɪ keɪs
一官半职	phr. minor official post|ˈmaɪnər əˈfɪʃəl poʊst
一定	adv. certainly|ˈsɜːrtənli	adv. surely|ˈʃʊrli
一定一定	phr. certainly|ˈsɜːrtənli
一定不	phr. definitely not|ˈdefənətli nɑːt
一定不会	phr. definitely won't|ˈdefənətli woʊnt
一定不是	phr. definitely not|ˈdefənətli nɑːt
一定不要	phr. must not|mʌst nɑːt
一定之规	phr. fixed rule|fɪkst ruːl
一定会	phr. will definitely|wɪl ˈdefənətli
一定可以	phr. surely can|ˈʃʊrli kæn
一定在	phr. must be there|mʌst biː ðer
一定数量	phr. a certain amount|eɪ ˈsɜːrtən əˈmaʊnt
一定是	phr. must be|mʌst biː
一定是你	phr. must be you|mʌst biː juː
一定有	phr. must have|mʌst hæv
一定程度	n. certain degree|ˈsɜːrtən dɪˈɡriː
一定能	phr. definitely can|ˈdefənətli kæn
一定要	phr. must|mʌst	phr. definitely|ˈdefənətli
一定要把	phr. must|mʌst
一定要看	phr. must-see|mʌst siː
一审	n. first trial|fɜːrst ˈtraɪəl
一审判决	n. first-instance verdict|fɜːrst ˈɪnstəns ˈvɜːrdɪkt
一审判决书	n. first-instance judgment|fɜːrst ˈɪnstəns ˈdʒʌdʒmənt
一审法院	n. court of first instance|kɔːrt ʌv fɜːrst ˈɪnstəns
一审裁定	n. first-instance ruling|fɜːrst ˈɪnstəns ˈruːlɪŋ
一宵冷雨葬名花	phr. cold rain buries flower|koʊld reɪn ˈberiːz ˈflaʊər
一家	n. a family|eɪ ˈfæməli
一家一户	phr. each household|iːtʃ ˈhaʊsˌhoʊld
一家三口	phr. family of three|ˈfæməli ʌv θriː
一家之言	phr. one's own view|wʌnz oʊn vjuː
一家二十口	phr. a family of twenty|eɪ ˈfæməli ʌv ˈtweni
一家人	n. family|ˈfæməli
一家四口	phr. family of four|ˈfæməli ʌv fɔːr
一家子	n. family|ˈfæməli
一家老小	phr. whole family|hoʊl ˈfæməli
一宿	n. one night|wʌn naɪt
一寸	n. one inch|wʌn ɪntʃ
一寸光阴一寸金	phr. Time is money|taɪm ɪz ˈmʌni
一寸荒田牛得耕	phr. ox plows small field|ɑːks plaʊz smɔːl fiːld
一对	m. a pair|eɪ per
一对一	phr. one-on-one|ˈwʌnəˈnɑːn
一对一联系	n. one-to-one contact|wʌn tuː wʌn ˈkɑːnˌtækt
一对多	n. one-to-many|wʌn tuː ˈmeni
一对多业务	n. one-to-many business|wʌn tuː ˈmeni ˈbɪznəs
一封信	n. a letter|eɪ ˈletər
一尊	m. a|eɪ
一小	phr. a little|eɪ ˈlɪtəl
一小块	phr. a small piece|eɪ smɔːl piːs
一小撮	m. a handful|eɪ ˈhændˌfʊl
一小时	n. one hour|wʌn ˈaʊər
一小段	phr. a short section|eɪ ʃɔːrt ˈsekʃən
一小部分	n. a small part|eɪ smɔːl pɑːrt
一尘不染	phr. spotless|ˈspɑːtləs
一局	n. game|ɡeɪm	n. round|raʊnd
一层	m. layer|ˈleɪər
一届	m. session|ˈseʃən	m. term|tɜːrm
一屋	n. room|ruːm
一展身手	phr. show one's skills|ʃoʊ wʌnz skɪlz
一山	n. a mountain|eɪ ˈmaʊntən
一岁	n. one year old|wʌn jɪr oʊld
一岁一枯荣	phr. wither and flourish yearly|ˈwɪðər ænd ˈflɜːrɪʃ ˈjɪrli
一川碎石大如斗	phr. boulders fill the river|ˈboʊldərz fɪl ðʌ ˈrɪvər
一己	pron. oneself|ˌwənˈself
一己之私	phr. selfish interest|ˈselfɪʃ ˈɪntərəst
一己之见	phr. one's own opinion|wʌnz oʊn əˈpɪnjən
一巴掌	n. slap|slæp
一帆风顺	phr. smooth sailing|smuːð ˈseɪlɪŋ
一带	n. area|ˈeriːə	n. region|ˈriːdʒən
一带一路	n. Belt and Road|belt ænd roʊd
一带中脊沫蝉	n. spittlebug of a zone
一带拟沫蝉	n. banded spittlebug
一席	n. a seat|eɪ siːt
一席之地	phr. a place|eɪ pleɪs
一席话	phr. a talk|eɪ tɔːk
一席谈	n. a conversation|eɪ ˌkɑːnvərˈseɪʃən
一帮	m. a group of|eɪ ɡruːp ʌv
一帮人	phr. a group of people|eɪ ɡruːp ʌv ˈpiːpəl
一幅画	phr. a painting|eɪ ˈpeɪntɪŋ
一幕	n. one act|wʌn ækt
一幢	m. a building|eɪ ˈbɪldɪŋ
一干	phr. all|ɔːl
一干二净	phr. completely clean|kəmˈpliːtli kliːn
一平	n. one level|wʌn ˈlevəl
一年	n. one year|wʌn jɪr
一年一年老去	phr. aging year by year|ˈeɪdʒɪŋ jɪr baɪ jɪr
一年一度	phr. once a year|wʌns eɪ jɪr
一年一度秋风劲	phr. autumn wind blows yearly|ˈɔːtəm waɪnd bloʊz ˈjɪrli
一年一次	phr. once a year|wʌns eɪ jɪr
一年了	phr. one year|wʌn jɪr
一年内	phr. within a year|wɪˈðɪn eɪ jɪr
一年到头	phr. all year round|ɔːl jɪr raʊnd
一年前	n. a year ago|eɪ jɪr əˈɡoʊ
一年十二月	phr. twelve months|twelv mʌnθs
一年半载	phr. a year or so|eɪ jɪr ɔːr soʊ
一年后	n. one year later|wʌn jɪr ˈleɪtər
一年四季	phr. all year round|ɔːl jɪr raʊnd
一年多	phr. over a year|ˈoʊvər eɪ jɪr
一年多了	phr. over a year|ˈoʊvər eɪ jɪr
一年时间	phr. one year|wʌn jɪr
一年春好处	phr. best of spring|best ʌv sprɪŋ
一年期	n. one-year term|wʌn jɪr tɜːrm
一年生	n. first-year student|fɜːrst jɪr ˈstuːdənt
一年生植物	n. annual plant|ˈænjuːəl plænt
一年级	n. first grade|fɜːrst ɡreɪd
一年级生	n. first-year student|fɜːrst jɪr ˈstuːdənt
一并	adv. together|təˈɡeðər
一床	m. a bed|eɪ bed
一应	n. all|ɔːl
一应俱全	phr. complete|kəmˈpliːt
一度	adv. once|wʌns
一度欲离别	phr. once wanted to part|wʌns ˈwɔːntɪd tuː pɑːrt
一座古	phr. an ancient|æn ˈeɪnʃənt
一座城	phr. a city|eɪ ˈsɪti
一建	n. First Construction|fɜːrst kənˈstrʌkʃən
一建家属院	n. Yijian family compound
一开	v. as soon as open|æz suːn æz ˈoʊpən
一开口	phr. as soon as speak|æz suːn æz spiːk
一开始	phr. at first|æt fɜːrst
一张	m. a piece of|eɪ piːs ʌv
一张一弛	phr. alternate tension and relaxation|ˈɔːltərˌneɪt ˈtenʃən ænd ˌriːlækˈseɪʃən
一张嘴	phr. open mouth|ˈoʊpən maʊθ
一张图	phr. a picture|eɪ ˈpɪktʃər
一张床	phr. a bed|eɪ bed
一张照片	phr. a photo|eɪ ˈfoʊˌtoʊ
一张纸	n. a piece of paper|eɪ piːs ʌv ˈpeɪpər
一弦一柱思华年	phr. each string recalls youth|iːtʃ strɪŋ ˈriːˌkɔːlz juːθ
一役	n. one role|wʌn roʊl
一往情深	phr. deeply attached|ˈdiːpli əˈtætʃt
一往无前	adj. indomitable|ˌɪnˈdɑːmətəbəl
一往直前	phr. go straight ahead|ɡoʊ streɪt əˈhed
一往而深	phr. deeply|ˈdiːpli
一径	adv. directly|daɪˈrekli
一律	adv. uniformly|ˈjuːnəˌfɔːrmli
一律予以没收	phr. confiscate all without exception|ˈkɑːnfəˌskeɪt ɔːl wɪˈðaʊt ɪkˈsepʃən
一得之见	phr. humble opinion|ˈhʌmbəl əˈpɪnjən
一德	n. Yide
一德东	n. Yide East
一德西	n. Yide West
一德路	n. Yide Road
一心	adv. wholeheartedly|ˈhoʊlhɑːrtɪdli
一心一意	phr. wholeheartedly|ˈhoʊlhɑːrtɪdli
一念之差	phr. a momentary slip|eɪ ˈmoʊmənˌteri slɪp
一怔	v. be startled|biː ˈstɑːrtəld
一总	adv. altogether|ˌɔːltəˈɡeðər
一悟得所遣	phr. one awakening gets release|wʌn əˈweɪkənɪŋ ɡets riːˈliːs
一悲一喜	phr. alternating grief and joy|ˈɔːltərˌneɪtɪŋ ɡriːf ænd dʒɔɪ
一想	v. think of|θɪŋk ʌv
一想到	phr. when thinking of|hwen ˈθɪŋkɪŋ ʌv
一意孤行	phr. act arbitrarily|ækt ˈɑːrbɪˌtrerəli
一愣	v. stun|stʌn
一成不变	phr. unchanging|ənˈtʃeɪndʒɪŋ	phr. fixed|fɪkst
一战	n. World War I|wɜːrld wɔːr aɪ
一截	m. a section|eɪ ˈsekʃən	m. a piece|eɪ piːs
一户	n. one household|wʌn ˈhaʊsˌhoʊld
一扇	m. a fan|eɪ fæn
一手	n. trick|trɪk	n. skill|skɪl
一手一脚	phr. single-handedly|ˈsɪŋɡəl ˈhændɪdli
一手包办	v. take sole charge|teɪk soʊl tʃɑːrdʒ
一手包揽	phr. monopolize|məˈnɑːpəˌlaɪz
一打	m. dozen|ˈdʌzən
一打开	phr. as soon as open|æz suːn æz ˈoʊpən
一扫而光	phr. sweep away completely|swiːp əˈweɪ kəmˈpliːtli
一扫而空	phr. sweep away|swiːp əˈweɪ
一批	m. a batch|eɪ bætʃ
一技之长	phr. skill|skɪl
一把	m. a handful of|eɪ ˈhændˌfʊl ʌv
一把刀	phr. a knife|eɪ naɪf
一把好手	phr. expert|ˈekspərt
一把年纪	phr. old age|oʊld eɪdʒ
一把手	n. leader|ˈliːdər
一把抓	phr. grab all|ɡræb ɔːl
一把枪	n. a gun|eɪ ɡʌn
一把鼻涕	n. a handful of snot|eɪ ˈhændˌfʊl ʌv snɔːt
一抓	v. grab|ɡræb
一抔黄土	phr. a handful of earth|eɪ ˈhændˌfʊl ʌv ɜːrθ
一抖	v. shake|ʃeɪk
一报还一报	phr. tit for tat|tɪt fɔːr tæt
一抹	m. a touch of|eɪ tʌtʃ ʌv
一拍	n. beat|biːt
一拍即合	phr. hit it off|hɪt ɪt ɔːf
一招	n. a move|eɪ muːv
一拜	v. bow once|baʊ wʌns
一拥而上	phr. rush forward|rʌʃ ˈfɔːrwərd
一拥而入	phr. rush in|rʌʃ ɪn
一拳	n. one punch|wʌn pʌntʃ
一挥而就	phr. finish at one stroke|ˈfɪnɪʃ æt wʌn stroʊk
一捏酥	n. pinch pastry|pɪntʃ ˈpeɪstri
一捻金胶囊	n. Yinianjin capsule
一掌雪	n. snow in one's palm|snoʊ ɪn wʌnz pɑːlm
一排	n. a row|eɪ roʊ
一掷千金	phr. spend lavishly|spend ˈlævɪʃli
一提	v. mention|ˈmenʃən
一揽子	adj. package|ˈpækədʒ	adj. blanket|ˈblæŋkət
一搏	v. fight for|faɪt fɔːr
一搜	v. search|sɜːrtʃ
一摘使瓜好	phr. picking makes melon good|ˈpɪkɪŋ meɪks ˈmelən ɡʊd
一摸	v. touch|tʌtʃ
一支黑玫瑰	phr. a black rose|eɪ blæk roʊz
一改	v. change completely|tʃeɪndʒ kəmˈpliːtli
一整	adj. whole|hoʊl
一整个	adj. whole|hoʊl
一整夜	n. all night|ɔːl naɪt
一整天	n. all day|ɔːl deɪ
一整套	n. a whole set|eɪ hoʊl set
一文	n. one cent|wʌn sent
一文不值	phr. worthless|ˈwɜːrθləs
一文不名	phr. penniless|ˈpeniːləs
一文钱难倒英雄汉	phr. penniless hero|ˈpeniːləs ˈhiːroʊ
一斑	n. one spot|wʌn spɑːt
一斗泉乡	n. Yidouquan township
一斛荐槟榔	phr. offer betel nuts|ˈɔːfər ˈbetəl nʌts
一斤	phr. one jin|wʌn dʒɪn
一新	v. renew|rɪˈnuː
一方	n. one side|wʌn saɪd
一方面	conj. on one hand|ɑːn wʌn hænd
一旁	n. side|saɪd
一族	n. clan|klæn
一无可取	phr. worthless|ˈwɜːrθləs
一无所得	phr. gain nothing|ɡeɪn ˈnʌθɪŋ
一无所成	phr. accomplish nothing|əˈkɑːmplɪʃ ˈnʌθɪŋ
一无所有	phr. have nothing|hæv ˈnʌθɪŋ
一无所求	phr. ask for nothing|æsk fɔːr ˈnʌθɪŋ
一无所知	phr. know nothing|noʊ ˈnʌθɪŋ
一无所能	phr. good for nothing|ɡʊd fɔːr ˈnʌθɪŋ
一无所获	phr. gain nothing|ɡeɪn ˈnʌθɪŋ
一无所见	phr. see nothing|siː ˈnʌθɪŋ
一无所长	phr. have no special skill|hæv noʊ ˈspeʃəl skɪl
一无是处	phr. worthless|ˈwɜːrθləs
一日	n. one day|wʌn deɪ
一日三省	phr. reflect thrice daily|rɪˈflekt θraɪs ˈdeɪli
一日三餐	phr. three meals a day|θriː miːlz eɪ deɪ
一日之计在于晨	phr. morning is key|ˈmɔːrnɪŋ ɪz kiː
一日千里	phr. at a tremendous pace|æt eɪ trəˈmendəs peɪs
一日复一日	phr. day after day|deɪ ˈæftər deɪ
一日思亲十二时	phr. miss family all day|mɪs ˈfæməli ɔːl deɪ
一日游	n. day trip|deɪ trɪp
一日长一日	phr. each day grows|iːtʃ deɪ ɡroʊz
一旦	conj. once|wʌns
一旦归为臣虏	phr. once become captive|wʌns bɪˈkʌm ˈkæptɪv
一早	n. early morning|ˈɜːrli ˈmɔːrnɪŋ
一时	n. moment|ˈmoʊmənt	n. temporary|ˈtempərˌeri
一时一刻	phr. moment|ˈmoʊmənt
一时三刻	phr. short while|ʃɔːrt hwaɪl
一时今夕会	phr. gather tonight|ˈɡæðər təˈnaɪt
一时兴起	phr. on a whim|ɑːn eɪ hwɪm
一时冲动	phr. impulse|ˈɪmpəls
一时半会	phr. for a while|fɔːr eɪ hwaɪl
一时半会儿	phr. for a while|fɔːr eɪ hwaɪl
一时半刻	phr. a short while|eɪ ʃɔːrt hwaɪl
一时多少豪杰	phr. heroes of the time|ˈhiːroʊz ʌv ðʌ taɪm
一时归去作闲人	phr. retire|ˌriːˈtaɪər
一时的	adj. temporary|ˈtempərˌeri
一时间	adv. for a moment|fɔːr eɪ ˈmoʊmənt
一星	n. one star|wʌn stɑːr
一星儿	m. a bit|eɪ bɪt
一星半点	phr. a bit|eɪ bɪt	phr. a little|eɪ ˈlɪtəl
一星半点儿	phr. a tiny bit|eɪ ˈtaɪni bɪt
一星期	n. one week|wʌn wiːk
一春梦雨常飘瓦	phr. dreamy rain|ˈdriːmi reɪn
一是	phr. first|fɜːrst
一是一二是二	phr. clear-cut|ˈklɪrˌkət
一显身手	phr. show one's skill|ʃoʊ wʌnz skɪl
一晃	adv. in a flash|ɪn eɪ flæʃ
一晚	n. one night|wʌn naɪt
一晚上	n. all night|ɔːl naɪt
一晚上了	phr. all night|ɔːl naɪt
一曲	n. a song|eɪ sɔːŋ
一月	n. January|ˈdʒænjuːˌeri
一月份	n. January|ˈdʒænjuːˌeri
一月又一月	phr. month after month|mʌnθ ˈæftər mʌnθ
一望无垠	phr. boundless|ˈbaʊndləs
一望无边	phr. boundless|ˈbaʊndləs
一望无际	phr. boundless|ˈbaʊndləs
一望而知	phr. obvious|ˈɑːbviːəs
一朝	n. one day|wʌn deɪ
一朝一夕	phr. overnight|ˈoʊvərˈnaɪt
一朝入吾手	phr. in my hand|ɪn maɪ hænd
一朝卧病无相识	phr. sick alone|sɪk əˈloʊn
一朝去京国	phr. leave capital|liːv ˈkæpətəl
一朝得成功	phr. succeed|səkˈsiːd
一朝权在手	phr. power in hand|ˈpaʊər ɪn hænd
一朝被谗言	phr. slandered|ˈslændərd
一朝辞此地	phr. leave this place|liːv ðɪs pleɪs
一朝选在君王侧	phr. chosen by the king|ˈtʃoʊzən baɪ ðʌ kɪŋ
一期	n. first phase|fɜːrst feɪz
一期愈合	n. primary healing|ˈpraɪˌmeri ˈhiːlɪŋ
一期梅毒	n. primary syphilis|ˈpraɪˌmeri ˈsɪfəlɪs
一期缝合	n. primary closure|ˈpraɪˌmeri ˈkloʊʒər
一本万利	phr. huge profit|hjuːdʒ ˈprɑːfət
一本书	phr. a book|eɪ bʊk
一本好书	phr. a good book|eɪ ɡʊd bʊk
一本正经	phr. serious|ˈsɪriːəs
一本通	n. all-in-one pass|ɔːl ɪn wʌn pæs
一朵	m. a flower|eɪ ˈflaʊər
一朵佳人玉钗上	phr. on hairpin
一朵小	phr. a small flower|eɪ smɔːl ˈflaʊər
一朵花	phr. a flower|eɪ ˈflaʊər
一束	n. a bunch|eɪ bʌntʃ
一条	m. a|eɪ
一条心	phr. be of one mind|biː ʌv wʌn maɪnd
一条狗	phr. a dog|eɪ dɔːɡ
一条线	phr. a line|eɪ laɪn
一条腿	phr. one leg|wʌn leɡ
一条藤径绿	phr. vine path green|vaɪn pæθ ɡriːn
一条街	n. street|striːt
一条街道	n. a street|eɪ striːt
一条路	phr. one road|wʌn roʊd
一条道走到黑	phr. go down one road|ɡoʊ daʊn wʌn roʊd
一条鱼	phr. a fish|eɪ fɪʃ
一条龙	n. one-stop|wʌn stɑːp
一来	adv. firstly|ˈfɜːrstli
一来一往	phr. back and forth|bæk ænd fɔːrθ
一杯	m. a cup|eɪ kʌp
一杯一杯复一杯	phr. cup after cup|kʌp ˈæftər kʌp
一杯咖啡	phr. a cup of coffee|eɪ kʌp ʌv ˈkɑːfi
一杯敬	phr. a cup to|eɪ kʌp tuː
一杯相属君当歌	phr. drink and sing|drɪŋk ænd sɪŋ
一杯罗浮春	phr. a cup of wine|eɪ kʌp ʌv waɪn
一杯苦劝护寒归	phr. urge to drink|ɜːrdʒ tuː drɪŋk
一杯酒	phr. a glass of wine|eɪ ɡlæs ʌv waɪn
一板一眼	phr. methodical|məˈθɑːdəkəl
一枕小窗浓睡	phr. deep sleep|diːp sliːp
一枕黄粱	phr. pipe dream|paɪp driːm
一枕黄粱再现	phr. pipe dream|paɪp driːm
一枕黑甜余	phr. sweet sleep|swiːt sliːp
一枚不换百金颁	phr. priceless|ˈpraɪsləs
一枝	m. one branch|wʌn bræntʃ
一枝花	n. a flower|eɪ ˈflaʊər
一枝黄花	n. goldenrod|ˈɡoʊldənˌrɑːd
一枪	n. one shot|wʌn ʃɑːt
一架猕猴桃	phr. a trellis of kiwifruit
一柱擎天	phr. stand alone|stænd əˈloʊn
一栋	m. a building|eɪ ˈbɪldɪŋ
一栏	n. column|ˈkɑːləm
一树梅花一放翁	phr. plum and poet|plʌm ænd ˈpoʊət
一树梨花落晚风	phr. pear blossoms fall|per ˈblɑːsəmz fɑːl
一树碧无情	phr. green trees indifferent|ɡriːn triːz ˌɪnˈdɪfərənt
一株	m. a plant|eɪ plænt
一株青玉立	phr. a jade-green plant stands|eɪ dʒeɪd ɡriːn plænt stændz
一样	adj. same|seɪm
一样一样	phr. same same|seɪm seɪm
一样可以	phr. also can|ˈɔːlsoʊ kæn
一样在	phr. also in|ˈɔːlsoʊ ɪn
一样多	phr. as many|æz ˈmeni
一样大	adj. same size|seɪm saɪz
一样好	adj. as good|æz ɡʊd
一样悲欢逐逝波	phr. joys and sorrows drift|dʒɔɪz ænd ˈsɑːroʊz drɪft
一样是	phr. same as|seɪm æz
一样有	phr. also have|ˈɔːlsoʊ hæv
一样的人	phr. same kind of person|seɪm kaɪnd ʌv ˈpɜːrsən
一样美	adj. equally beautiful|ˈiːkwəli ˈbjuːtəfəl
一样都是	phr. all the same|ɔːl ðʌ seɪm
一样长	phr. same length|seɪm leŋkθ
一根筋	adj. stubborn|ˈstʌbərn
一格	n. one grid|wʌn ɡrɪd
一案	n. a case|eɪ keɪs
一桌	phr. a table of|eɪ ˈteɪbəl ʌv
一档	m. a program|eɪ ˈproʊˌɡræm
一档齿轮	n. first gear|fɜːrst ɡɪr
一桶	m. a bucket|eɪ ˈbʌkət
一棍子打死	phr. kill with one blow|kɪl wɪð wʌn bloʊ
一棒	n. a stick|eɪ stɪk
一棒雪	n. a play|eɪ pleɪ
一棵树	phr. a tree|eɪ triː
一棵青桐子	phr. a green parasol tree
一楼	n. first floor|fɜːrst flɔːr
一概	adv. without exception|wɪˈðaʊt ɪkˈsepʃən
一概而论	phr. treat as the same|triːt æz ðʌ seɪm
一模一样	phr. identical|aɪˈdentɪkəl
一樽还酹江月	phr. toast the moon|toʊst ðʌ muːn
一次	phr. once|wʌns
一次会议	phr. a meeting|eɪ ˈmiːtɪŋ
一次吧	phr. once|wʌns
一次性	adj. disposable|dɪˈspoʊzəbəl
一次性使用导尿管	n. disposable catheter|dɪˈspoʊzəbəl ˈkæθətər
一次性口罩	n. disposable mask|dɪˈspoʊzəbəl mæsk
一次性输液器	n. disposable infusion set|dɪˈspoʊzəbəl ˌɪnˈfjuːʒən set
一次指数平滑法	n. exponential smoothing|ˌekspoʊˈnenʃəl ˈsmuːðɪŋ
一次机会	phr. one chance|wʌn tʃæns
一次次	adv. repeatedly|rɪˈpiːtɪdli
一次澡	phr. one bath|wʌn bæθ
一次课征制	n. single taxation|ˈsɪŋɡəl tækˈseɪʃən
一款由	phr. a game by|eɪ ɡeɪm baɪ
一正君而国定矣	phr. rectify ruler|ˈrektəˌfaɪ ˈruːlər
一步	n. step|step
一步一个脚印	phr. step by step|step baɪ step
一步一步	adv. step by step|step baɪ step
一步到位	phr. do in one step|duː ɪn wʌn step
一步步	adv. step by step|step baɪ step
一段	m. a period|eɪ ˈpɪriːəd
一段时间	n. a period|eɪ ˈpɪriːəd
一段话	phr. a paragraph|eɪ ˈpærəˌɡræf
一段路	phr. a stretch of road|eɪ stretʃ ʌv roʊd
一比	phr. one to one|wʌn tuː wʌn
一毕业	phr. upon graduation|əˈpɑːn ˌɡrædʒəˈweɪʃən
一毛	n. one hair|wʌn her
一毛不拔	phr. stingy|ˈstɪndʒi	phr. miserly|ˈmaɪzərli
一毛钱	n. one mao|wʌn maʊ
一气呵成	phr. in one breath|ɪn wʌn breθ
一氧化碳	n. carbon monoxide|ˈkɑːrbən məˈnɑːksaɪd
一氯二氟乙烷	n. chlorodifluoroethane
一水中分白鹭洲	phr. water divides egret islet|ˈwɔːtər dɪˈvaɪdz ˈeɡrət ˈaɪlɪt
一水儿	adv. uniformly|ˈjuːnəˌfɔːrmli
一水护田将绿绕	phr. water circles fields|ˈwɔːtər ˈsɜːrkəlz fiːldz
一汽	n. FAW|fɔː
一汽丰越	n. FAW Toyota|fɔː toʊˈjoʊtə
一汽公司	n. FAW|fɔː
一汽华利幸福使者	n. FAW Huali
一汽吉林森雅	n. FAW Jilin Senia
一汽夏利	n. FAW Xiali
一汽奥迪	n. FAW Audi|fɔː ˈaʊdi
一汽威志	n. FAW Vizi
一汽富维	n. FAW Faway
一汽轿车	n. FAW Car|fɔː kɑːr
一汽金杯	n. FAW Jinbei
一汽马自达	n. FAW Mazda|fɔː ˈmæzdə
一波	m. wave|weɪv
一波未平一波又起	phr. one thing after another|wʌn θɪŋ ˈæftər əˈnʌðər
一泻千里	phr. flow swiftly|floʊ ˈswɪftli
一派	n. school|skuːl	n. faction|ˈfækʃən
一流	adj. first-class|ˌfərstˈklæs
一浪	n. one wave|wʌn weɪv
一清二楚	adj. perfectly clear|ˈpɜːrfəkli klɪr
一清二白	phr. perfectly clear|ˈpɜːrfəkli klɪr
一清新村	n. Yiqing Village
一清早	n. early morning|ˈɜːrli ˈmɔːrnɪŋ
一清胶囊	n. Yiqing capsule
一清软胶囊	n. Yiqing soft capsule
一清颗粒	n. Yiqing granules
一渡	n. Yidu
一溜儿	n. row|roʊ	n. line|laɪn
一溜烟	phr. in a flash|ɪn eɪ flæʃ
一滴	m. a drop|eɪ drɑːp
一潭死水	phr. stagnant pool|ˈstæɡnənt puːl
一炮	n. a shot|eɪ ʃɑːt	n. a cannon|eɪ ˈkænən
一炮打响	phr. make a hit|meɪk eɪ hɪt
一炷烟中得意	phr. content in smoke|ˈkɑːntent ɪn smoʊk
一炷烟消火冷	phr. smoke fades|smoʊk feɪdz
一点	n. a little|eɪ ˈlɪtəl
一点一滴	phr. bit by bit|bɪt baɪ bɪt
一点一点	adv. little by little|ˈlɪtəl baɪ ˈlɪtəl
一点不	phr. not at all|nɑːt æt ɔːl
一点乌灯蛾	n. one-spot tiger moth|wʌn spɑːt ˈtaɪɡər mɔːθ
一点也	adv. at all|æt ɔːl
一点也不	phr. not at all|nɑːt æt ɔːl
一点儿	m. a little|eɪ ˈlɪtəl
一点半	n. half past one|hæf pæst wʌn
一点半点	phr. a little|eɪ ˈlɪtəl
一点同缘椿象	n. one-spot stink bug|wʌn spɑːt stɪŋk bʌɡ
一点同缘蝽	n. one-spot stink bug|wʌn spɑːt stɪŋk bʌɡ
一点实小卷蛾	n. one-spot leafroller
一点木叶蝉	n. leafhopper|ˈliːfˌhɑːpər
一点沧洲白鹭飞	phr. egret flies|ˈeɡrət flaɪz
一点浩然气	phr. a bit of spirit|eɪ bɪt ʌv ˈspɪrət
一点灰蝶	n. gray butterfly|ɡreɪ ˈbʌtərˌflaɪ
一点灰蝶属	n. gossamer-winged butterfly|ˈɡɑːsəmər wɪŋd ˈbʌtərˌflaɪ
一点点	adj. a little|eɪ ˈlɪtəl
一点突额杆蝇	n. fly|flaɪ
一点芳心在娇眼	phr. amorous eyes|ˈæmərəs aɪz
一点蝙蛾	n. moth|mɔːθ
一点都	adv. at all|æt ɔːl
一点都不	phr. not at all|nɑːt æt ɔːl
一点都没	phr. not at all|nɑːt æt ɔːl
一点钻夜蛾	n. moth|mɔːθ
一点黄粉蝶	n. yellow butterfly|ˈjeloʊ ˈbʌtərˌflaɪ
一热	phr. get hot|ɡet hɑːt
一片	m. a piece|eɪ piːs
一片丹心	phr. loyal heart|ˈlɔɪəl hɑːrt
一片伤心画不成	phr. sorrow cannot be painted|ˈsɑːroʊ ˈkænɑːt biː ˈpeɪntɪd
